year,cancer_type,sex,incidence_rate,death_rate
1995,lung,males,81.6,56.0
1995,lung,females,25.0,13.5
1996,lung,males,84.6,55.8
1996,lung,females,25.8,14.2
1997,lung,males,80.6,70.0
1997,lung,females,28.5,21.7
1998,lung,males,79.2,61.5
1998,lung,females,25.8,20.9
1999,lung,males,81.5,57.5
1999,lung,females,30.8,21.5
2000,lung,males,85.0,55.3
2000,lung,females,29.0,20.6
2001,lung,males,68.6,56.2
2001,lung,females,30.4,22.5
2002,lung,males,74.3,65.9
2002,lung,females,31.2,24.4
2003,lung,males,72.8,64.3
2003,lung,females,29.3,25.9
2004,lung,males,76.3,58.4
2004,lung,females,33.5,23.5
2005,lung,males,80.1,64.7
2005,lung,females,35.7,24.5
2006,lung,males,79.2,67.6
2006,lung,females,36.7,28.6
2007,lung,males,70.9,60.0
2007,lung,females,41.2,28.8
2008,lung,males,74.0,60.3
2008,lung,females,37.1,25.7
2009,lung,males,68.5,53.1
2009,lung,females,37.4,28.6
2010,lung,males,67.9,53.6
2010,lung,females,38.0,28.4
2011,lung,males,68.0,56.9
2011,lung,females,36.6,27.5
2012,lung,males,66.4,54.9
2012,lung,females,38.2,29.8
2013,lung,males,62.0,52.1
2013,lung,females,38.1,28.1
2014,lung,males,61.6,50.8
2014,lung,females,39.5,28.9
2015,lung,males,59.7,52.8
2015,lung,females,43.0,32.6
2016,lung,males,61.0,51.1
2016,lung,females,42.3,31.0
2017,lung,males,65.0,46.1
2017,lung,females,43.4,30.0
2018,lung,males,61.7,47.0
2018,lung,females,43.0,26.8
2019,lung,males,61.4,46.0
2019,lung,females,39.0,26.5
2020,lung,males,63.8,43.4
2020,lung,females,41.3,26.8
2021,lung,males,59.3,43.0
2021,lung,females,41.6,28.0
2022,lung,males,57.6,41.0
2022,lung,females,41.0,25.3
2023,lung,males,57.4,40.2
2023,lung,females,42.0,25.6
